ID	Type	-log(pval)	residual_expression	size	Cox
FCGR1A	TG	0	4.3201	0.63975	-0.3218
FES	TG	0	1.435	0.2125	0
FLT3	TG	0	0.15733	0.023299	-0.251
FOS	TG	0	1.2222	0.18099	0
GK	TG	0	1.5732	0.23296	0
GPNMB	TG	0	1.1197	0.16581	0
GSTP1	TG	0	0.37507	0.055543	0.2787
HAMP	TG	0	1.52	0.22509	-0.2196
HBEGF	TG	0	1.6334	0.24188	0
HGF	TG	0	0.64455	0.095449	0
HIF1A	TG	0	1.2395	0.18355	0
HLA-DMA	TG	0	3.0096	0.44569	-0.3352
HLA-DMB	TG	0	3.413	0.50542	-0.3413
HLA-DPA1	TG	0	2.9669	0.43936	-0.3368
HLA-DPB1	TG	0	2.1188	0.31377	-0.358
HLA-DQA1	TG	0	3.0537	0.45222	-0.3022
HLA-DQA2	TG	0	1.2995	0.19244	-0.29
HLA-DQB1	TG	0	2.7382	0.40549	-0.2801
HLA-DQB2	TG	0	1.3236	0.19601	-0.2963
HLA-DRA	TG	0	3.7914	0.56145	-0.3442
HLA-DRB1	TG	0	3.1515	0.46669	-0.3735
HLA-DRB5	TG	0	3.1954	0.47319	-0.2956
HLA-G	TG	0	0.26679	0.039507	0
HMOX1	TG	0	2.1785	0.32261	0
ICAM1	TG	0	1.9796	0.29316	-0.2371
ID2	TG	0	0.924	0.13683	-0.2473
IER3	TG	0	2.7503	0.40728	0
IFIT3	TG	0	1.358	0.2011	-0.2966
IFNAR1	TG	0	0.35673	0.052827	-0.2631
IL10	TG	0	0.39112	0.057919	-0.2606
IL18	TG	0	1.2287	0.18195	-0.2561
IL1B	TG	0	4.5533	0.67429	0
IL1RN	TG	0	3.4141	0.50558	0
IL27	TG	0	0.1226	0.018156	-0.354
IL2RA	TG	0	0.24493	0.03627	-0.3178
IL6	TG	0	0.12182	0.01804	0
IRF1	TF	5.3612	0.13425	0.019881	-0.367
IRF2	TG	0	0.27902	0.041319	-0.3547
IRF7	TG	0	1.2918	0.1913	-0.2177
IRF8	TF	6.2297	0.80837	0.11971	-0.2693
ITGAM	TG	0	2.017	0.29869	-0.2269
ITGAX	TG	0	2.8032	0.41511	0
ITGB2	TG	0	2.3015	0.34081	-0.2826
JAK2	TG	0	0.8779	0.13001	-0.3385
JUNB	TG	0	0.84116	0.12456	0
KLF11	TG	0	0.13658	0.020225	0
KLF4	TG	0	0.66482	0.098451	0
LY96	TG	0	1.376	0.20377	0
MCL1	TG	0	0.53275	0.078893	-0.2593
MMP1	TG	0	0.142	0.021028	0
MMP9	TG	0	0.34941	0.051743	0
MNDA	TG	0	3.7451	0.5546	-0.3227
MSR1	TG	0	3.672	0.54378	-0.2671
NCF2	TG	0	3.883	0.57502	-0.2014
NDUFA13	TG	0	0.36147	0.053528	0
NLRC4	TG	0	0.65708	0.097305	-0.3139
NR1H3	TF	3.2175	1.062	0.15727	-0.271
OSM	TG	0	1.3618	0.20167	0
PIM1	TG	0	0.74439	0.11023	0
PLAGL1	TG	0	0.32923	0.048754	0
PLAU	TG	0	1.7041	0.25236	0
PLAUR	TG	0	4.0981	0.60687	0
PLIN2	TG	0	1.8178	0.2692	0
PLK3	TG	0	0.44664	0.066141	0
PLTP	TG	0	1.2727	0.18847	0
PML	TG	0	0.39073	0.057862	-0.1968
PPARG	TF	4.9343	0	0	0
PSMB10	TG	0	1.1308	0.16745	0
PSMB9	TG	0	0.48047	0.071151	-0.3552
PTGS2	TG	0	0.86571	0.1282	0
RB1	TG	0	0.74479	0.11029	0
REL	TF	6.0378	0	0	0
RELA	TG	0	0.24742	0.036639	0
RFX5	TF	Inf	0	NaN	-0.2075
RFXANK	TF	11.7869	0	0	0
RFXAP	TF	11.7869	0	0	0
RNASE2	TG	0	1.0392	0.15389	-0.228
RRM2B	TG	0	0.23653	0.035027	0
S100A10	TG	0	0.67701	0.10026	0
S100A9	TG	0	5.6955	0.84342	0
SAT1	TG	0	2.7496	0.40718	0
SLC1A3	TG	0	2.002	0.29647	-0.2001
SLPI	TG	0	0.11059	0.016377	0.227
SOCS3	TG	0	1.1663	0.17272	0
SOD2	TG	0	3.4111	0.50513	-0.309
SP3	TF	3.8655	0	0	0
SPI1	TF	12.6181	0	0	-0.2744
SPP1	TG	0	2.3971	0.35498	0
STAT1	TF	12.6181	0	0	-0.3686
STAT2	TG	0	0.52318	0.077476	0
STAT3	TF	6.3322	0	0	-0.2334
TAP2	TG	0	0.13904	0.02059	-0.2037
TCN2	TG	0	1.3444	0.19909	0
THBS1	TG	0	1.2608	0.1867	0
TIMP1	TG	0	1.107	0.16393	0
TLR4	TG	0	2.0717	0.3068	-0.266
TNF	TG	0	1.1279	0.16703	-0.2788
TNFSF10	TG	0	1.186	0.17563	-0.2631
TNFSF13B	TG	0	2.73	0.40428	-0.3018
TP53	TF	3.0135	0	0	0
TYMP	TG	0	3.0278	0.44838	-0.2042
UPP1	TG	0	1.0171	0.15062	0
VCAN	TG	0	1.5123	0.22395	0
VEGFA	TG	0	0.30746	0.045531	0
VEGFB	TG	0	0.10407	0.015411	0
ZFP36	TG	0	1.6773	0.24838	0
